Read 5000 bodies from file dataset/bodies_5000.csv
Using 5 MPI processes

Initial state:
ID	Mass		Pos_X		Pos_Y		Pos_Z		Vel_X		Vel_Y		Vel_Z
-----------------------------------------------------------------------------------------
0	10.35		27.48		28.53		14.58		-9.77		9.25		6.16
1	75.28		-48.98		-71.70		-89.43		9.29		5.94		5.21
2	67.64		86.18		-71.52		96.68		5.76		8.83		1.56
3	31.39		-24.65		1.62		11.32		-8.05		-4.67		-6.73
4	48.46		43.47		-45.96		-42.81		9.42		-5.32		-9.05
5	24.97		4.07		46.03		5.46		2.22		5.09		-2.21
6	9.17		-94.53		-38.13		-95.03		1.06		-1.30		4.51
7	67.98		51.57		21.01		-51.73		-5.35		-0.32		7.67
8	13.17		36.00		68.06		82.54		-9.34		-6.61		-6.16
9	92.67		-54.11		-30.20		52.66		0.19		9.72		-1.51
10	37.12		-48.64		98.69		44.34		8.46		7.61		-5.82
11	40.05		66.18		-98.91		85.98		-4.11		2.14		8.59
12	7.41		32.81		44.66		48.13		-2.58		-4.31		-1.20
13	14.37		-59.61		91.33		36.35		7.43		7.97		-1.53
14	74.37		91.06		67.49		93.12		5.57		-3.94		4.37
15	58.20		-14.18		74.57		-42.19		5.04		-4.22		3.22
16	9.91		20.59		63.88		-84.87		-4.29		4.46		-9.85
17	21.92		29.64		4.29		-72.92		-9.96		-4.01		1.47
18	75.11		45.45		-53.72		-33.29		-8.20		-2.49		2.60
19	12.05		52.90		-57.83		43.69		-2.44		-1.97		-3.04
20	74.69		-70.39		-84.85		-4.42		-9.15		4.30		1.81
21	1.93		-48.28		-85.77		-99.52		-3.57		-8.42		3.59
22	58.15		-99.43		53.27		-45.88		-2.64		6.36		-0.48
23	10.43		47.87		57.76		-40.22		4.63		2.40		5.25
24	51.90		3.48		-82.50		-90.78		3.80		8.83		-6.12
25	56.81		60.73		97.90		36.58		1.27		8.64		-5.87
26	32.28		-21.44		-24.14		12.04		-5.88		-8.11		-4.05
27	71.59		-56.27		-30.29		-64.73		4.98		-1.65		-5.38
28	83.77		32.44		77.98		46.93		-0.88		-8.85		-0.65
29	87.23		78.68		28.96		-50.97		7.49		-0.63		-1.44
30	80.01		0.90		55.06		36.91		9.97		-3.47		1.90
31	22.46		43.51		-68.10		-17.62		-8.91		3.63		4.20
32	42.80		17.89		-54.10		25.66		1.24		-5.84		3.76
33	58.29		95.10		-90.40		-66.57		-7.97		9.62		-9.44
34	19.82		1.89		-66.91		67.74		2.54		-2.68		4.08
35	11.56		97.66		-49.43		-83.32		6.13		-6.90		-4.75
36	80.12		47.85		72.09		86.86		9.37		-2.53		0.66
37	70.41		-7.47		90.01		-52.35		-5.69		-5.04		-3.33
38	61.72		2.17		3.97		18.99		-4.35		7.17		-5.48
39	63.04		92.69		34.51		-1.52		-2.25		-8.15		-8.96
40	4.66		-6.48		86.24		90.78		-8.98		1.23		7.89
41	14.65		89.14		-55.16		-57.35		-3.28		-4.58		6.28
42	84.20		-53.53		47.09		93.03		-6.94		5.70		4.45
43	64.87		-69.02		54.56		-74.54		2.81		9.30		4.01
