Read 10000 bodies from file dataset/bodies_10000.csv
Using 8 MPI processes

Initial state:
ID	Mass		Pos_X		Pos_Y		Pos_Z		Vel_X		Vel_Y		Vel_Z
-----------------------------------------------------------------------------------------
0	20.41		-27.62		31.33		94.77		-4.37		-1.98		-3.18
1	2.47		-75.52		25.80		19.55		-7.43		-3.95		1.32
2	42.42		8.79		28.69		4.31		3.88		-8.39		-6.19
3	16.43		-1.79		81.60		-75.43		-7.83		3.16		2.32
4	97.23		-8.05		-27.00		-78.68		6.27		-8.78		1.23
5	49.87		37.10		68.18		-49.51		-7.26		1.44		-4.07
6	48.04		-95.14		69.03		73.94		-4.91		-9.45		-9.13
7	77.24		-15.42		41.70		-69.27		9.35		-3.95		-1.37
8	61.06		46.19		31.47		-12.18		-4.13		-6.12		-6.21
9	3.73		-28.89		63.48		17.33		3.16		-5.68		-1.93
10	33.07		-66.66		77.35		72.11		8.21		3.07		0.17
11	97.54		-93.30		71.17		-72.97		5.08		9.74		5.38
12	28.85		38.90		-77.95		-24.70		-6.08		9.50		-0.97
13	89.91		92.68		-28.69		-86.55		3.11		-4.69		-3.65
14	62.41		-0.54		86.88		-95.46		1.14		-7.04		-3.66
15	97.09		-17.57		-26.06		91.82		-3.82		-9.93		0.10
16	46.89		3.82		22.20		74.40		7.52		9.64		-4.51
17	6.35		92.79		-54.33		77.67		0.09		-1.37		8.01
18	90.71		1.30		46.59		-60.63		-0.98		7.18		5.62
19	57.68		19.19		-33.43		4.14		9.15		3.20		-4.97
20	95.14		-48.99		33.60		-96.33		4.16		-9.01		-9.39
21	94.00		-37.03		-62.15		-12.96		-0.04		-1.31		4.68
22	89.80		-16.65		-12.43		-31.10		0.47		6.07		3.97
23	21.09		-66.32		94.22		88.50		6.05		-6.73		8.05
24	70.37		31.94		-15.81		91.54		0.61		-9.33		-6.08
25	63.30		73.57		-11.44		-10.41		2.40		-4.64		5.62
26	55.54		65.33		85.42		-59.83		8.01		-3.67		7.26
27	33.17		54.74		92.44		-30.47		-1.98		-1.66		9.31
28	73.01		34.61		-73.48		75.73		3.50		3.84		-3.63
29	14.90		-66.33		69.10		84.71		-4.60		0.27		9.79
30	61.73		-65.35		-98.50		71.78		3.59		-7.55		-0.08
31	16.43		76.87		94.35		74.53		7.01		-7.34		-0.01
32	1.34		43.65		10.17		-52.60		6.90		0.37		7.06
33	41.38		82.73		-11.98		-95.08		-9.63		4.67		7.35
34	73.63		-8.26		-14.22		-85.02		-4.58		-4.14		-7.45
35	77.88		-48.16		-38.87		-8.59		8.53		-3.03		6.92
36	50.39		81.04		84.36		-23.76		-4.99		-1.92		8.27
37	59.19		84.22		12.29		-26.23		-6.07		2.65		7.78
38	18.67		59.61		91.92		2.43		-3.83		-5.74		-8.66
39	23.28		-36.54		79.68		82.65		0.42		-5.51		-0.69
40	92.80		-80.36		29.76		58.81		-1.08		-2.73		-5.94
41	89.32		84.64		71.97		74.36		1.51		1.22		0.21
42	70.29		11.34		55.14		14.08		-8.52		4.55		6.39
43	3.88		-95.03		78.66		36.24		-1.56		-7.44		-1.22
44	87.57		14.68		15.19		-61.10		-1.70		7.47		3.05
45	94.08		-74.13		61.31		-11.61		9.69		0.91		8.71
46	66.53		-62.31		78.58		14.99		0.43		3.61		-7.63
47	59.70		80.30		30.14		-90.84		-4.68		7.46		5.68
48	71.62		-15.41		-82.84		-41.60		-2.14		3.61		-4.27
49	57.68		-89.74		23.25		-13.53		7.91		0.29		4.89
50	85.65		92.54		-56.71		70.49		-0.51		5.11		9.46
51	34.78		69.14		75.23		34.86		-2.04		4.14		-1.02
52	55.39		72.45		-18.49		54.08		-2.17		4.58		9.00
53	88.93		-91.83		-0.84		-2.50		3.66		3.73		-2.93
54	45.71		75.37		66.94		-20.54		1.18		-5.18		9.17
55	22.63		18.94		-98.63		98.17		-7.22		-4.60		-5.66
56	89.64		-70.45		-66.09		-25.33		6.38		-6.41		-8.99
57	65.98		22.96		-86.14		-21.13		-4.44		-5.85		2.74
58	3.99		21.21		-39.93		-20.20		3.69		-8.34		-3.83
59	30.36		-86.80		90.92		-67.54		2.74		3.11		0.28
60	64.49		19.62		-96.84		-54.34		8.58		4.18		2.84
