Read 3000 bodies from file dataset/bodies_3000.csv
Using 5 MPI processes

Initial state:
ID	Mass		Pos_X		Pos_Y		Pos_Z		Vel_X		Vel_Y		Vel_Z
-----------------------------------------------------------------------------------------
0	33.04		-16.38		-14.29		-13.20		5.55		7.20		-0.36
1	97.87		88.88		68.12		12.26		1.95		0.98		8.34
2	34.78		-54.74		82.94		-22.49		-2.81		-7.28		1.27
3	78.66		66.43		91.82		-39.60		-3.57		9.10		4.82
4	34.55		82.59		50.09		-25.64		4.89		1.75		0.53
5	26.96		42.05		13.33		-86.81		2.21		2.60		2.80
6	39.10		-28.20		87.44		-65.00		5.25		-2.92		-7.13
7	12.20		95.89		28.78		65.53		7.44		-3.82		8.44
8	24.62		-23.94		-60.96		-62.09		8.37		-7.34		-2.35
9	15.11		-88.85		-70.06		44.68		-2.60		1.00		-8.61
10	62.18		-36.90		-90.49		31.21		-5.44		-6.95		7.33
11	32.65		-85.71		0.73		-48.45		8.54		0.09		4.55
12	65.61		51.41		-8.72		-38.47		-7.67		7.64		-1.04
13	2.21		92.93		-95.72		-44.38		-7.84		4.62		-9.65
14	29.87		80.04		-13.35		-15.03		-4.97		-7.50		-2.70
15	13.77		-10.73		1.87		-90.69		-5.50		5.23		-3.24
16	51.73		-88.82		66.85		-73.32		-9.02		2.96		7.93
17	29.24		-34.32		22.43		11.07		1.32		9.64		-6.48
18	52.37		-80.63		-14.63		75.06		3.72		-4.86		-4.93
19	6.01		87.37		40.49		41.01		-4.05		5.65		1.65
20	31.86		62.20		30.15		-98.15		8.36		5.70		-9.78
21	4.55		15.58		97.62		-41.59		1.10		5.85		6.61
22	95.94		-71.45		37.29		61.05		0.29		-9.70		-1.10
23	58.58		48.33		-81.05		-11.49		-4.56		1.00		-4.52
24	18.78		-91.77		-73.79		-42.15		4.22		-7.50		0.92
25	79.80		-54.00		65.38		-47.44		-4.01		-6.77		8.66
26	96.38		22.22		58.42		-44.17		2.05		-2.15		0.38
27	87.49		95.19		-72.60		-21.51		-7.08		1.26		7.40
28	37.37		31.76		64.77		-59.49		-2.95		-6.13		-0.66
29	32.22		-60.28		-22.83		39.39		-1.65		-8.23		7.99
30	61.73		23.80		-88.54		-47.60		7.36		3.70		-0.52
31	19.46		-44.05		1.27		-85.99		-4.12		3.07		-3.25
32	95.75		69.64		-36.02		91.34		3.00		5.89		7.65
33	20.49		78.63		-50.91		-91.42		-0.32		-1.77		-8.98
34	76.10		-41.20		-10.47		48.00		4.73		-3.06		-5.31
35	66.37		44.08		-24.79		-0.53		-3.47		9.67		-3.45
36	27.74		-95.57		27.36		-70.20		-2.62		2.85		-8.40
37	43.66		4.13		-93.44		93.50		-4.94		-9.51		-2.07
38	15.32		-38.57		-82.97		-5.66		-1.22		-7.41		2.26
39	82.72		70.70		-39.78		-55.62		-6.86		-1.74		-3.46
40	7.53		76.88		-90.36		-45.68		-9.68		8.30		3.91
41	60.36		-64.95		-18.84		-39.89		-0.82		9.50		4.13
42	51.58		72.10		8.77		39.29		2.35		-3.29		4.16
43	73.55		80.78		-6.15		-38.00		0.69		-3.82		-7.66
44	58.18		-55.59		-51.34		-27.45		9.07		1.52		9.10
45	31.05		23.44		-45.85		-40.21		-7.89		4.71		4.62
46	32.74		-17.97		-67.20		-55.73		9.67		-0.23		-4.44
47	19.17		32.38		-16.84		99.74		-2.67		-5.41		7.62
48	95.37		-62.01		-10.63		-77.34		0.17		-3.54		2.33
49	62.25		19.71		-62.34		-43.44		6.54		4.41		-5.39
50	98.18		6.55		25.10		-82.67		-4.08		7.39		-6.81
51	16.79		-39.11		-31.77		-5.48		-8.56		-7.31		-4.93
52	58.03		-18.25		59.94		-47.08		-5.16		-6.74		2.11
53	16.56		68.81		49.28		-6.87		7.53		6.69		-4.76
54	88.41		-63.01		38.30		-13.85		-1.20		-9.87		-2.42
55	84.71		-7.28		-12.16		55.15		-5.08		6.12		-9.68
56	39.96		-86.44		30.53		95.78		8.58		-6.59		-9.04
57	94.33		78.18		-32.62		-69.61		9.88		-3.39		6.38
58	43.67		-8.87		69.91		-58.80		-3.15		-8.99		0.13
59	88.12		51.95		78.52		-45.51		8.91		-5.29		2.84
60	58.74		57.10		28.89		-30.74		-9.61		-8.10		-9.25
61	84.54		-40.71		3.49		15.85		-0.44		-8.73		-5.50
62	2.04		-41.51		34.46		-72.04		7.44		-9.86		-1.67
63	33.81		-37.19		-19.99		-5.49		9.85		6.45		8.88
64	36.34		52.03		-60.34		40.55		6.22		3.62		-0.10
65	94.29		83.32		-18.08		17.52		0.26		-2.92		9.03
66	3.08		0.93		66.38		-35.84		-7.37		1.94		0.55
67	9.07		-6.60		84.50		-12.27		7.73		5.09		9.73
68	23.86		-0.89		73.48		71.48		-9.72		-0.23		3.56
69	5.17		-93.82		16.68		-48.65		5.81		-0.15		6.52
70	37.67		90.50		-91.00		32.67		2.72		6.67		8.39
71	44.93		20.93		-97.11		13.62		6.80		-4.61		-5.51
72	57.38		-4.28		-77.53		-6.41		1.25		6.71		-5.88
73	7.86		-96.31		87.12		71.65		4.90		2.12		-9.67
74	24.85		62.71		46.81		-98.61		-0.76		7.10		5.46
75	1.71		34.67		-65.69		32.66		-0.57		-9.02		-7.47
76	89.27		-84.54		-38.10		-74.06		-8.77		9.58		-4.79
77	56.06		85.35		-67.76		3.81		2.57		-9.04		-5.34
78	26.45		97.84		-29.00		-32.73		-3.79		-7.78		3.59
79	88.58		-96.53		20.07		-76.64		6.13		7.14		-9.33
80	69.63		-12.34		2.19		88.45		-5.58		-8.89		-9.90
81	54.33		83.82		-49.46		-19.44		-2.95		1.23		-3.92
82	32.65		-36.94		40.90		-50.77		1.53		5.39		8.81
83	30.37		66.78		-80.70		-18.43		-7.38		0.24		-9.74
84	94.91		37.50		16.93		-54.03		8.92		-8.50		-9.59
85	22.20		22.82		-3.47		-25.62		-1.10		4.30		-4.35
86	52.99		44.01		49.22		-3.16		2.21		-7.07		-9.32
87	1.86		-26.64		-11.74		-92.51		3.63		-3.83		5.22
88	66.59		-12.61		45.05		74.14		-3.85		-3.97		1.49
89	37.78		-76.79		-95.89		-80.76		4.14		-4.37		6.26
