Read 100 bodies from file dataset/bodies_100.csv
Using 6 MPI processes

Initial state:
ID	Mass		Pos_X		Pos_Y		Pos_Z		Vel_X		Vel_Y		Vel_Z
-----------------------------------------------------------------------------------------
0	80.90		70.80		-98.31		-79.02		0.83		-8.98		-7.85
1	45.28		69.95		-39.62		-12.06		1.08		2.44		-8.63
2	48.04		-56.88		93.04		-87.82		5.38		1.94		-1.85
3	14.60		-9.52		-15.74		16.09		-3.23		-1.01		-4.59
4	37.72		-42.88		0.23		-0.31		0.49		-5.18		-0.29
5	43.79		-22.23		73.34		81.82		5.27		4.27		4.16
6	22.78		-70.63		2.25		-86.51		-5.86		6.83		9.63
7	74.18		-31.05		-5.69		-97.12		-3.20		7.29		-0.03
8	38.97		-32.17		87.96		-17.61		-5.90		2.57		4.84
9	70.56		-63.71		-23.54		-67.18		-4.51		-0.47		-6.75
10	58.94		82.70		-97.56		88.92		5.60		-3.25		8.80
11	64.82		-82.89		80.16		15.11		-8.11		-1.87		7.26
12	58.65		-55.33		12.55		-39.21		-7.74		-2.66		-4.42
13	19.83		-25.15		56.16		-49.99		7.93		9.71		-6.67
14	61.55		23.09		21.44		-23.38		8.75		-5.28		7.95
15	52.11		-34.03		28.57		7.91		-8.89		7.42		6.24
16	60.20		-63.87		-87.94		68.89		-2.09		-2.58		-7.92
17	14.87		-45.26		22.88		-87.37		-6.90		3.72		9.39
18	68.34		-6.13		38.48		12.76		-8.91		6.58		3.60
19	72.13		24.62		23.44		-4.32		-5.32		9.27		1.66
20	33.52		-84.42		82.58		57.13		4.63		3.30		8.51
21	35.81		64.78		-45.26		30.57		0.61		-5.72		0.64
22	77.47		-60.02		43.06		-16.17		5.27		-0.81		-3.63
23	81.50		-91.13		-89.22		-58.83		8.02		4.57		3.78
24	32.86		58.62		2.25		32.46		-0.13		-2.60		-7.47
25	28.06		53.15		47.81		-45.40		2.12		-3.88		-5.59
26	7.19		41.99		-31.68		-88.54		2.35		-4.36		3.78
27	35.33		75.14		-22.82		-85.91		-0.45		4.36		2.63
28	92.31		-76.31		84.98		-37.21		-8.83		-1.35		9.90
29	38.50		-58.23		59.61		33.78		1.89		-4.87		-7.29
30	59.32		47.11		-22.65		30.14		-8.42		5.30		1.01
31	83.52		4.45		52.83		37.70		3.55		-6.74		4.38
32	48.93		83.98		-53.57		-56.75		8.42		7.01		8.47
33	92.71		-2.90		-36.10		-39.03		-6.44		0.91		4.46
34	40.09		-8.00		4.67		4.23		2.20		1.22		7.60
35	24.06		-54.51		59.54		15.79		-2.06		6.00		7.22
36	87.31		72.63		-85.66		-23.59		-0.52		-0.60		0.60
37	62.58		-71.50		-50.46		-62.41		2.70		8.40		-4.68
38	79.92		27.35		-9.32		-10.66		-0.71		1.38		-6.83
39	62.68		82.80		31.77		91.39		-1.66		8.26		-6.57
40	58.90		-73.69		-60.18		24.85		2.76		9.06		9.75
41	36.29		33.64		86.39		-43.86		-1.79		4.12		-5.09
42	11.16		-9.22		38.14		-77.39		5.07		9.32		9.45
43	91.11		16.48		19.77		57.54		8.44		-3.12		-5.71
44	49.40		-0.42		-56.10		73.10		-4.66		3.72		-4.82
45	49.18		92.51		-48.53		92.64		2.73		-5.29		-2.16
46	26.50		32.95		57.14		54.43		5.95		6.00		4.50
47	89.32		-57.87		-88.38		-61.50		5.71		-9.81		9.35
48	64.90		85.08		-11.66		50.76		2.99		9.52		-4.17
49	47.11		45.67		87.12		36.13		-0.80		-0.71		-4.07
50	18.32		-60.06		98.80		-54.36		-5.21		7.54		0.01
51	75.12		37.67		47.67		60.26		3.15		-1.65		-4.88
52	33.08		68.00		66.41		79.71		5.03		8.08		-3.96
53	83.32		7.64		97.92		-55.92		0.05		-5.20		6.39
54	95.61		97.91		74.93		-95.62		-3.56		-9.68		2.14
55	58.82		23.48		77.12		-38.48		1.35		2.40		9.34
56	14.95		29.45		-57.45		-0.04		-7.38		-2.10		-9.55
57	50.61		-98.70		-99.27		-48.06		-4.20		2.05		2.86
58	17.40		54.10		-43.68		-36.37		0.42		8.89		8.12
59	73.06		38.22		-34.21		96.31		-0.71		-5.90		3.71
60	5.36		-89.86		-87.32		84.58		-9.66		3.53		-7.49
61	3.74		38.67		75.43		23.07		1.16		5.84		7.38
62	62.74		31.43		52.17		-64.80		1.21		9.74		1.07
63	39.81		68.81		-12.27		-49.89		-7.51		5.92		6.98
64	80.04		-58.85		49.79		-52.52		6.55		4.15		-1.89
65	96.63		-2.59		-42.24		48.38		3.78		1.12		5.08
66	13.61		-76.48		82.03		-76.82		-9.88		-0.42		-3.63
67	79.37		-56.67		71.33		-32.39		-2.26		4.85		1.53
68	98.23		-49.03		50.63		-11.51		-5.61		-4.49		9.23
69	65.79		-94.44		96.40		34.91		2.49		-5.67		5.43
70	82.88		28.82		95.01		-94.50		2.90		8.43		-1.93
71	90.50		-44.40		35.70		92.46		-5.30		9.92		2.68
72	78.42		-49.55		-22.18		74.18		-3.06		9.72		3.58
73	70.29		98.54		93.94		-50.40		8.26		4.52		-8.70
74	3.97		98.97		-2.59		-27.23		-2.70		-5.74		3.23
75	87.60		-21.65		-86.02		40.00		-4.25		6.04		1.49
76	77.46		65.93		-46.93		-3.13		-4.91		4.70		-9.41
77	19.92		53.07		-66.17		13.78		-8.14		-1.52		1.85
78	72.30		-88.08		82.79		-34.45		-4.93		-0.48		7.57
79	25.81		31.38		42.77		-86.79		6.29		-7.48		-5.18
80	62.25		-42.99		-75.27		-88.43		-2.09		4.81		5.01
81	66.36		71.93		-44.29		83.07		2.78		-8.02		5.99
82	25.35		-46.45		-34.18		50.59		5.61		5.97		-8.01
83	84.83		-50.56		95.56		-1.38		-3.85		1.78		5.27
84	47.82		81.29		-15.12		78.57		-2.19		1.96		8.43
85	73.19		-69.28		-18.03		63.64		0.25		-3.97		-8.09
86	9.09		-37.62		88.06		-31.98		-8.73		4.17		6.22
87	36.66		18.92		92.86		-75.99		-2.38		6.24		2.45
88	22.90		98.80		-49.54		42.47		-7.56		-8.74		1.78
89	43.42		-99.56		-43.62		7.81		-7.44		-3.17		3.68
90	83.28		91.11		-8.10		3.55		3.72		1.30		4.25
91	91.75		-77.05		-36.21		65.38		0.08		-2.82		-0.46
92	76.99		-64.53		-7.23		-72.21		-6.03		-5.84		-5.58
93	38.78		70.22		45.08		-40.05		6.29		0.43		-2.14
94	98.28		-70.30		-43.64		-58.35		1.25		-4.78		-1.40
95	35.28		-71.06		69.59		36.54		-3.20		-9.90		-5.30
96	6.76		-49.39		-88.61		13.17		-1.79		-5.75		-0.24
97	1.57		86.35		-62.10		17.09		9.85		4.42		6.04
98	98.08		82.55		67.37		27.10		2.76		-4.27		8.83
99	72.52		-45.82		70.91		-54.98		-6.41		4.34		-1.46

Step 0:
ID	Mass		Pos_X		Pos_Y		Pos_Z		Vel_X		Vel_Y		Vel_Z
-----------------------------------------------------------------------------------------
0	80.90		70.81		-98.40		-79.10		0.83		-8.98		-7.85
1	45.28		69.96		-39.60		-12.15		1.08		2.44		-8.63
2	48.04		-56.83		93.06		-87.84		5.38		1.94		-1.85
3	14.60		-9.55		-15.75		16.05		-3.23		-1.01		-4.59
4	37.72		-42.87		0.17		-0.32		0.49		-5.18		-0.29
5	43.79		-22.18		73.38		81.86		5.27		4.27		4.16
6	22.78		-70.69		2.32		-86.42		-5.86		6.83		9.63
7	74.18		-31.08		-5.62		-97.12		-3.20		7.29		-0.03
8	38.97		-32.23		87.98		-17.56		-5.90		2.57		4.84
9	70.56		-63.76		-23.55		-67.25		-4.51		-0.47		-6.75
10	58.94		82.76		-97.59		89.00		5.60		-3.25		8.80
11	64.82		-82.97		80.14		15.19		-8.11		-1.87		7.26
12	58.65		-55.40		12.52		-39.26		-7.74		-2.66		-4.42
13	19.83		-25.07		56.26		-50.06		7.93		9.71		-6.67
14	61.55		23.18		21.39		-23.30		8.75		-5.28		7.95
15	52.11		-34.12		28.65		7.98		-8.89		7.42		6.24
16	60.20		-63.89		-87.96		68.81		-2.09		-2.58		-7.92
17	14.87		-45.33		22.92		-87.28		-6.90		3.72		9.39
18	68.34		-6.22		38.55		12.80		-8.91		6.58		3.60
19	72.13		24.56		23.53		-4.31		-5.32		9.27		1.66
20	33.52		-84.37		82.61		57.22		4.63		3.30		8.51
21	35.81		64.79		-45.32		30.58		0.61		-5.72		0.64
22	77.47		-59.96		43.05		-16.21		5.27		-0.81		-3.63
23	81.50		-91.05		-89.17		-58.79		8.02		4.57		3.78
24	32.86		58.62		2.22		32.39		-0.13		-2.60		-7.47
25	28.06		53.17		47.77		-45.45		2.12		-3.88		-5.59
26	7.19		42.01		-31.72		-88.50		2.35		-4.36		3.78
27	35.33		75.13		-22.77		-85.88		-0.45		4.36		2.63
28	92.31		-76.40		84.97		-37.12		-8.83		-1.35		9.90
