Read 2000 bodies from file dataset/bodies_2000.csv
Using 7 MPI processes

Initial state:
ID	Mass		Pos_X		Pos_Y		Pos_Z		Vel_X		Vel_Y		Vel_Z
-----------------------------------------------------------------------------------------
0	74.13		77.60		27.84		-41.89		8.70		9.08		7.90
1	33.72		-95.02		-57.93		-99.93		-4.92		9.66		8.59
2	58.79		-17.17		13.98		87.12		0.55		-5.00		9.83
3	73.24		-28.31		4.65		21.81		-6.14		-9.44		2.24
4	36.83		63.76		99.52		58.19		-1.29		-4.75		1.01
5	44.21		-55.03		-59.68		11.93		2.52		3.56		9.73
6	8.35		51.61		-7.42		89.72		-9.79		-7.51		-6.99
7	35.98		99.40		-93.65		-77.47		7.86		-9.03		1.55
8	42.07		-75.23		-80.32		84.82		5.81		2.68		-1.41
9	30.06		-56.86		25.17		-44.57		5.76		-7.22		-5.26
10	40.73		27.97		37.68		-1.62		4.30		7.74		-2.73
11	43.61		-94.46		97.29		53.82		-4.88		4.52		9.69
12	82.43		47.73		92.58		46.95		-4.86		-3.67		-5.58
13	33.17		-99.84		-8.06		-13.07		-7.42		3.89		-4.16
14	42.58		83.96		69.33		26.98		0.19		3.40		-3.53
15	49.83		73.65		25.82		60.12		3.99		2.84		-5.66
16	33.63		-59.71		-19.61		-97.97		8.13		-7.92		8.22
17	1.49		-92.86		-73.32		85.48		1.25		-1.54		-0.46
18	68.39		41.46		25.11		-67.05		7.30		-8.26		6.17
19	67.52		4.50		1.43		24.48		9.73		-2.19		8.20
20	91.15		-90.90		37.44		-64.64		-4.79		-3.53		-2.40
21	74.21		89.51		11.39		-88.12		-6.10		-7.02		-4.66
22	12.19		0.96		-93.27		-10.09		6.40		9.75		8.00
23	13.94		39.35		-36.68		-79.47		-0.27		6.38		0.64
24	34.08		10.81		-37.03		99.22		4.11		-4.63		-7.79
25	38.74		-67.63		-96.66		-91.29		-8.58		8.60		3.63
26	99.55		-86.49		79.38		11.57		-6.12		3.50		5.46
27	99.46		71.70		33.47		10.20		4.35		-7.34		6.89
28	45.45		6.58		-2.43		36.07		-7.05		1.22		5.51
29	26.07		46.51		17.44		5.74		9.38		1.80		-5.91
30	38.42		-79.39		-74.32		-55.21		6.30		-1.04		8.51
31	90.94		3.50		-38.66		35.42		8.24		-4.00		-8.02
32	1.94		53.99		-85.69		25.15		-4.54		8.94		0.35
33	88.08		-40.83		13.41		-99.31		-7.89		-6.82		3.43
34	56.73		-97.11		3.67		-12.97		8.39		5.99		9.81
35	16.84		38.58		3.53		-18.30		9.52		4.99		2.85
36	9.45		-81.34		-51.97		-96.05		4.21		-0.86		-2.65
37	85.48		-46.26		-26.79		-68.62		0.82		5.74		5.69
38	88.58		-10.23		-73.66		58.29		-9.95		0.05		-3.92
39	41.81		-71.46		-35.96		-71.95		-6.30		1.14		6.62
40	22.46		16.28		56.97		-81.00		-4.39		-5.69		-4.46
41	55.22		-3.37		-88.33		74.92		-4.46		-0.28		-2.76
42	63.57		-80.40		-71.91		-83.21		-5.86		6.24		-3.62
43	46.92		-7.10		1.79		36.20		1.48		6.19		-2.00
44	60.33		-77.68		94.50		-43.72		-7.06		-4.62		-1.83
45	28.29		90.56		33.79		-24.83		5.85		6.98		0.86
46	33.81		-20.24		93.57		86.96		5.05		1.12		-5.83
47	23.22		-65.43		96.11		67.11		-2.51		-8.74		8.03
48	26.65		-60.89		-2.66		78.29		-4.44		5.95		-7.04
49	22.38		26.48		21.45		-38.47		6.18		-4.73		5.32
50	99.48		2.16		99.92		-70.13		7.31		-3.81		7.27
51	96.18		25.40		78.44		15.79		6.93		3.09		-0.94
52	53.47		89.71		23.79		99.91		4.14		-8.88		8.74
53	11.47		-93.52		-28.32		88.00		-0.87		9.41		8.05
54	82.24		-28.79		-49.66		-19.89		-4.23		-6.46		-3.96
55	84.33		85.74		-4.29		1.62		-0.97		-9.98		1.53
56	80.06		-95.94		9.02		12.66		-4.46		-1.57		-8.47
57	25.88		48.11		11.05		17.56		-2.20		3.98		3.49
58	94.84		-52.39		-72.61		-99.67		0.81		0.44		-1.91
59	4.81		5.69		-41.18		-74.27		-7.64		-3.77		2.28
60	28.56		-46.26		45.50		-75.51		-3.91		1.95		0.45
61	75.72		64.42		97.97		74.54		1.87		-5.11		-2.40
62	2.94		-1.81		-38.03		67.53		6.00		-1.04		-0.63
63	85.75		92.75		39.20		-80.91		6.53		7.52		-6.42
64	42.21		92.94		79.36		-18.75		9.90		-6.72		1.48
65	50.60		23.92		80.29		17.77		-5.98		-6.17		-0.15
66	55.05		55.66		-59.37		-71.06		8.93		-0.36		-4.33
67	74.10		-31.26		-61.49		42.36		-2.87		-4.64		3.40
68	64.60		-82.94		-0.40		-33.92		3.74		8.42		1.95
69	69.96		-24.87		-36.90		1.94		-4.69		-1.88		1.34
70	5.71		-73.96		42.67		33.49		-7.17		7.13		-1.77
71	58.01		19.43		-77.60		-8.93		-4.26		5.21		-5.99
72	55.99		10.92		-97.92		89.50		-6.30		0.99		6.80
73	69.70		-80.89		67.59		-65.12		-6.64		3.87		7.88
74	10.08		29.46		-73.01		43.37		8.69		5.38		-5.42
75	18.61		-55.02		-65.17		20.86		3.67		-6.10		0.54
76	52.64		52.94		65.12		-56.54		-6.01		-5.71		-6.54
77	85.14		-2.76		-75.38		-47.36		-1.62		-9.22		4.39
78	1.60		-66.57		50.35		-64.58		-1.50		3.31		-8.28
79	79.45		86.24		-26.31		-11.03		9.63		-8.20		-5.31
80	99.92		-48.41		42.41		4.69		9.91		1.96		-5.38
81	26.47		58.99		3.88		-38.56		-6.85		-1.79		2.84
82	44.67		-81.35		93.95		32.57		-8.89		2.46		-3.05
83	97.10		-45.02		55.26		-85.35		7.20		-7.68		-6.39
84	31.62		21.79		80.49		46.16		-9.74		3.46		4.62
85	27.10		-61.58		-91.00		78.38		-7.62		0.82		-2.22
86	89.88		18.39		-76.48		77.49		4.77		8.97		9.53
87	94.38		-83.64		45.34		71.40		6.60		6.33		9.02
88	3.87		-74.08		-17.42		94.12		-1.30		-1.03		-5.71
89	45.61		51.20		-21.48		63.36		-9.79		-3.89		-4.09
90	50.90		-89.26		-97.46		-70.47		-1.64		3.29		5.87
91	99.58		-31.08		96.66		-46.03		3.72		6.17		-5.75
92	91.81		-12.10		-90.00		-60.24		2.57		9.22		4.48
93	9.89		77.66		80.72		-41.40		4.89		-2.46		-9.24
94	13.29		70.48		28.40		-87.17		-8.72		-1.58		-4.95
95	35.99		-26.63		54.23		48.59		0.98		-9.58		-7.88
96	41.79		94.95		-36.88		-92.08		-2.88		9.11		5.45
97	76.74		89.91		75.16		-89.54		-3.02		2.11		7.83
98	16.72		79.81		-77.58		26.76		1.67		-6.51		9.23
99	20.39		-6.72		-46.92		-76.02		8.74		-9.15		-5.30
100	47.12		-28.02		-95.27		31.49		-3.55		2.08		2.60
101	28.87		-12.69		1.47		-27.78		5.09		-6.49		1.87
102	42.78		-38.90		18.73		10.48		5.30		2.23		-7.78
103	60.16		-95.18		-30.66		-34.91		-5.89		-1.39		7.93
104	59.54		-71.46		5.65		60.34		-7.05		-3.37		-1.41
105	69.88		-33.23		22.15		47.05		-4.80		-4.05		5.80
106	92.78		-22.41		-75.03		56.60		-7.49		7.47		4.27
107	97.53		-82.69		-87.66		55.29		-2.38		4.37		-3.46
108	2.60		-15.95		-5.08		-77.75		-9.84		2.13		2.08
109	98.87		15.13		-56.23		56.58		-4.88		3.66		-2.12
110	13.53		88.83		86.13		-70.30		9.73		-2.19		-6.46
111	6.35		-55.43		9.97		21.13		-2.98		-9.29		7.42
112	31.63		-52.68		-31.37		42.36		-6.47		-0.89		4.69
113	23.93		-95.00		40.26		35.79		-0.62		7.62		2.72
114	51.85		27.03		-39.71		-4.82		5.29		1.91		8.61
115	48.23		37.25		63.89		12.88		-3.11		-9.79		4.19
116	83.09		55.71		-3.14		-3.88		9.37		-2.58		1.54
117	79.09		99.31		-1.17		89.77		-7.01		9.57		-9.47
118	70.69		30.04		95.28		52.50		-9.78		-7.43		-5.34
119	8.15		3.28		-6.07		-18.57		2.31		-9.81		1.67
120	42.42		-2.38		79.13		16.47		0.90		-7.59		6.28
121	3.29		-93.93		82.55		-52.45		4.94		-9.73		-8.00
122	82.89		-78.17		34.27		-0.20		-9.94		3.81		2.22
123	8.35		-33.20		36.63		75.72		1.69		6.68		-3.45
124	68.74		-91.04		-69.38		25.35		-5.83		-2.92		-9.09
125	78.32		-55.87		-52.03		-59.59		-7.53		0.48		-8.99
126	6.06		15.10		98.26		64.97		-1.94		6.65		-0.26
127	73.90		13.70		-19.37		36.80		5.98		-3.12		3.47
128	6.93		-66.96		-11.05		-17.94		-7.98		-6.80		-0.31
129	71.66		-80.84		15.68		43.86		1.87		8.36		6.12
130	7.97		87.06		73.80		46.43		-9.63		-2.97		5.92
131	48.80		61.43		69.71		51.47		0.22		1.87		5.38
132	56.73		-64.48		-55.83		-57.43		-5.19		0.29		-4.27
133	31.81		2.40		-13.66		-5.61		4.38		9.30		7.24
134	93.87		39.60		13.85		32.99		-4.49		-0.89		0.55
135	49.81		-44.35		42.87		99.05		0.86		5.49		4.58
136	74.25		49.43		-3.52		29.41		-2.77		-1.80		3.01
137	60.37		-96.68		-23.68		-84.73		1.28		-0.23		2.93
138	14.26		90.62		26.20		-44.33		8.53		9.45		-8.05
139	9.12		81.75		-37.90		36.15		-5.74		-4.12		-1.42
140	81.32		-92.46		-21.98		19.82		5.83		-5.23		-2.73
141	58.07		-34.13		-9.27		60.29		1.81		-5.70		4.50
142	37.48		28.79		-45.35		-91.89		4.45		-1.96		-8.63
143	18.35		-71.95		2.74		-36.96		6.78		-7.71		0.45
144	97.11		98.12		-72.17		-52.77		-6.89		-7.75		1.73
145	62.25		-26.10		47.36		15.22		-4.36		-6.27		3.33
146	14.16		76.09		41.69		77.94		1.20		-6.66		-0.11
147	30.79		-29.19		34.57		-56.05		0.21		-1.01		5.60
148	65.53		-6.31		-32.02		36.05		-1.54		3.42		5.41
149	88.61		-43.14		-50.66		12.14		5.38		6.13		2.76
150	32.70		96.72		-80.52		82.36		4.07		4.77		1.45
151	26.85		68.41		-17.96		25.57		4.90		-8.49		-1.80
152	41.62		64.74		-89.14		-71.96		-0.39		3.26		8.72
153	34.42		68.05		86.06		-96.63		-5.39		-9.28		-2.81
154	86.55		41.84		-88.99		26.97		6.82		-6.78		2.95
155	11.13		-83.72		-19.11		-6.74		9.32		9.88		5.44
156	79.49		15.64		-21.29		99.77		-3.73		6.49		-0.20
157	17.61		83.67		-23.04		-11.13		-8.07		-2.15		8.49
158	40.90		83.81		53.49		92.60		-5.23		4.67		-1.72
159	24.87		64.38		-13.25		94.63		-4.80		6.13		-1.48
160	61.49		-46.67		98.61		-83.72		-4.38		1.87		-4.75
161	70.92		-17.69		20.16		23.78		5.16		-3.78		-5.51
162	37.88		-82.11		24.34		-31.46		4.98		3.51		-0.36
163	29.23		-60.54		-89.48		12.14		8.91		-2.05		-4.01
164	73.54		-69.82		91.60		-57.23		-9.67		7.08		-6.68
165	24.75		77.54		-84.08		-0.05		9.67		-7.36		-5.67
166	15.62		99.43		35.95		-30.47		4.49		-1.46		-2.85
167	39.11		24.97		-30.45		-33.50		-9.51		2.45		0.10
168	38.32		-47.83		-98.11		37.37		3.00		6.91		3.18
169	19.28		-83.73		-4.03		-68.34		5.97		1.57		-6.69
170	32.93		-4.20		-72.01		87.30		-3.14		9.39		7.56
171	24.87		-42.53		-50.57		-99.72		-8.97		-7.37		-8.74
172	90.02		-51.93		-53.22		47.47		2.05		-9.17		6.09
173	28.53		50.79		-92.21		66.06		-2.15		7.71		6.78
174	91.68		-32.98		49.79		-57.93		0.81		5.45		9.22
175	69.29		-42.00		-54.75		63.53		-8.10		-9.33		-1.85
176	58.97		-10.12		75.50		84.69		1.65		2.02		0.64
177	52.38		88.61		88.61		68.50		2.01		7.08		-5.71
178	29.23		-52.42		1.94		4.98		3.71		4.32		-4.02
179	50.48		5.98		18.73		-92.23		-4.29		-9.64		1.70
180	98.74		-46.06		-50.15		-21.33		-5.87		-1.22		-6.56
181	40.24		61.16		-98.27		48.73		2.09		-1.16		-6.29
182	75.15		-59.35		-69.15		-45.05		-2.36		1.27		1.27
183	1.53		-2.71		-15.49		18.51		7.21		3.15		-2.69
184	20.37		-25.49		82.95		-81.44		-4.99		-1.52		-2.25
185	58.12		-34.27		20.85		74.51		8.39		-2.71		1.88
186	11.61		-6.47		-97.40		-6.33		6.61		-7.59		7.17
187	96.59		51.09		-64.52		-72.21		9.50		2.00		9.59
188	97.62		-25.19		48.10		70.48		-3.73		4.87		-2.28
189	80.25		65.21		46.76		72.10		-3.77		-3.53		-9.58
190	33.27		-68.72		-44.08		46.44		-4.15		-3.57		6.15
191	54.01		-84.43		-24.68		72.06		-5.06		7.91		-5.72
192	27.18		-36.33		12.34		-81.23		9.80		-1.51		0.42
193	70.95		-38.12		39.48		-91.62		0.88		7.05		-6.80
194	36.24		-29.65		-0.78		86.08		0.31		-7.73		2.75
195	1.83		55.12		43.67		-14.58		8.60		-4.67		6.06
196	74.45		-27.77		-48.06		64.98		9.21		4.86		-7.58
197	56.27		-46.88		-95.08		-77.13		-1.75		-3.25		-4.77
198	81.67		71.97		67.10		56.18		-2.24		-7.70		1.82
199	41.76		74.11		-75.13		50.85		-8.85		-5.71		-9.76
200	47.89		11.95		-22.77		-10.64		-7.98		-6.54		4.40
201	55.71		-79.96		-26.14		80.01		-4.44		-3.17		-2.53
202	26.97		-22.87		-8.68		-91.90		9.01		-4.01		9.96
203	43.68		53.74		69.15		44.46		0.70		9.55		0.58
204	62.05		33.41		-93.76		95.81		-8.05		4.06		-4.48
205	29.92		91.40		-95.58		95.92		-9.86		-2.16		7.94
