Read 100 bodies from file dataset_2d/bodies_2d_100.csv
Using 7 MPI processes

Initial state:
ID	Mass		Pos_X		Pos_Y		Vel_X		Vel_Y
---------------------------------------------------------------
0	15.45		-90.55		58.36		-6.15		8.01
1	28.67		22.48		-2.09		-4.24		-6.23
2	60.83		-30.66		90.21		0.18		-1.75
3	35.77		85.96		90.23		-7.40		-4.60
4	23.62		-77.76		64.83		9.79		8.10
5	70.80		-21.68		14.67		0.87		-0.81
6	80.33		-91.12		-56.90		-8.92		-1.32
7	88.20		47.99		-63.58		-2.06		7.00
8	68.38		-24.04		53.28		4.83		4.44
9	51.08		9.63		-16.43		0.33		-2.92
10	69.63		-63.27		39.39		1.33		-6.34
11	68.26		90.64		31.71		-6.67		0.32
12	91.10		84.64		60.03		-0.30		7.51
13	84.27		87.44		-7.10		-1.55		9.31
14	52.67		76.41		4.79		-5.20		-8.15
15	8.09		52.42		-17.28		2.00		6.86
16	35.33		-60.34		42.39		-6.89		2.33
17	60.81		54.29		30.05		-5.37		7.18
18	67.35		66.10		-47.25		0.09		-4.03
19	73.44		99.76		66.51		-6.86		-4.88
20	52.83		7.69		37.47		1.21		-2.22
21	50.61		-64.11		34.06		-3.83		4.06
22	53.46		61.59		-14.76		-9.47		-9.80
23	99.22		-2.29		-88.88		-2.79		3.56
24	51.98		-35.94		-80.59		2.72		5.40
25	12.57		83.75		-13.08		3.63		3.66
26	61.81		98.12		41.53		9.56		-5.98
27	20.52		13.16		-95.46		4.97		0.42
28	38.09		89.25		-83.26		-2.41		3.81
29	44.08		28.41		76.60		-7.69		-6.23
30	49.85		44.25		24.31		0.96		6.43
31	73.23		75.73		95.69		3.70		9.59
32	90.72		25.55		9.43		-1.32		8.44
33	1.79		-27.37		0.66		7.54		9.81
34	11.09		-92.90		88.68		6.65		9.96
35	23.52		41.25		72.32		-8.31		-2.83
36	11.48		97.35		55.06		5.08		0.29
37	4.82		38.20		16.64		-2.60		0.12
38	83.89		88.79		-80.83		9.22		-0.36
39	40.86		-24.07		83.13		4.49		3.59
40	22.55		21.72		22.48		2.23		5.55
41	3.53		7.68		60.31		-6.56		0.60
42	84.29		75.15		29.93		-6.96		-2.81
43	46.96		63.74		-32.38		-6.00		-7.08
44	72.93		59.27		-62.29		-5.99		-4.19
45	96.49		7.08		-64.94		-8.23		2.82
46	45.73		-60.30		96.01		-1.49		-5.42
47	10.95		-86.30		93.76		0.42		9.98
48	62.53		55.92		15.43		-0.46		-3.84
49	12.88		13.12		9.58		-9.95		-2.92
50	54.98		97.10		19.90		-6.95		-1.24
51	77.65		-82.96		-9.04		-2.31		-2.65
52	32.03		23.72		-62.27		-5.87		-5.50
53	99.95		-75.94		57.35		-8.50		-7.87
54	23.76		-54.20		-92.60		-7.93		2.64
55	32.70		-87.95		-19.50		2.54		-7.38
56	79.48		44.64		-12.19		9.84		9.77
57	30.10		-69.05		88.82		1.13		-0.44
58	72.87		14.62		-23.54		-7.08		-9.64
59	23.24		-1.15		76.62		-2.52		-9.29
60	29.34		-73.26		13.06		5.59		-7.71
61	27.79		97.07		-69.22		-4.02		4.59
62	58.00		72.84		-25.19		-5.27		7.63
63	81.39		-76.01		6.32		3.02		-3.66
64	57.17		-14.33		-0.55		-5.62		2.15
65	85.79		81.55		84.67		-1.97		8.56
66	12.27		-25.06		-74.22		8.03		-0.86
67	22.61		-13.53		-77.58		6.53		-3.58
68	5.82		41.95		74.02		-7.16		9.29
69	96.26		17.86		91.16		-9.29		4.58
70	67.75		62.12		73.20		0.30		-7.94
71	45.47		-5.17		94.90		1.64		5.15
72	29.34		46.69		89.02		-9.12		6.52
73	77.87		26.93		32.88		-6.52		0.33
74	77.93		-37.52		-95.13		5.27		-6.92
75	8.00		1.65		68.47		2.16		-3.12
76	43.86		-39.35		75.22		0.98		3.46
77	56.27		48.98		16.24		-1.17		-9.19
78	12.95		-37.51		98.55		-0.47		-1.26
79	7.37		-60.77		-55.26		-6.91		6.87
80	80.37		97.14		64.93		1.81		9.58
81	37.75		87.09		-86.03		5.54		-4.33
82	57.18		81.72		4.02		1.20		-9.10
83	53.09		43.18		-55.95		-2.65		-4.79
84	20.34		-83.55		91.77		3.01		-6.04
85	8.57		84.85		2.76		-2.49		-8.20
86	19.13		2.97		-75.60		-7.49		-9.26
87	26.08		99.93		56.74		6.19		-0.43
88	48.21		74.67		15.40		4.49		7.28
89	52.73		-54.87		-2.85		-4.08		-3.90
90	22.78		66.70		76.59		-3.64		7.88
91	43.40		97.90		-43.85		-8.80		4.44
92	57.55		-54.86		-64.01		-1.98		8.26
93	5.82		-26.80		55.07		3.18		6.09
94	5.83		45.24		45.70		9.73		-9.96
95	57.99		98.53		4.08		0.01		-2.06
96	54.97		-92.14		81.10		-2.64		0.44
97	12.29		-94.31		-65.19		6.93		-4.32
98	48.23		74.63		17.16		5.23		7.76
99	82.57		82.71		13.85		6.94		-1.87

Step 0:
ID	Mass		Pos_X		Pos_Y		Vel_X		Vel_Y
---------------------------------------------------------------
0	15.45		-90.62		58.44		-6.15		8.01
1	28.67		22.44		-2.15		-4.24		-6.23
2	60.83		-30.66		90.20		0.18		-1.75
3	35.77		85.89		90.19		-7.40		-4.60
4	23.62		-77.66		64.91		9.79		8.10
5	70.80		-21.67		14.66		0.87		-0.81
6	80.33		-91.21		-56.92		-8.92		-1.32
7	88.20		47.97		-63.51		-2.06		7.00
8	68.38		-23.99		53.32		4.83		4.44
9	51.08		9.64		-16.46		0.33		-2.92
10	69.63		-63.26		39.32		1.33		-6.34
11	68.26		90.57		31.71		-6.67		0.32
12	91.10		84.64		60.11		-0.30		7.51
13	84.27		87.42		-7.01		-1.55		9.31
14	52.67		76.36		4.71		-5.20		-8.15
15	8.09		52.44		-17.21		2.00		6.86
16	35.33		-60.40		42.41		-6.89		2.33
17	60.81		54.24		30.12		-5.37		7.18
18	67.35		66.10		-47.29		0.09		-4.03
19	73.44		99.69		66.46		-6.86		-4.88
20	52.83		7.70		37.45		1.21		-2.22
21	50.61		-64.14		34.10		-3.83		4.06
22	53.46		61.49		-14.86		-9.47		-9.80
23	99.22		-2.32		-88.84		-2.79		3.56
24	51.98		-35.91		-80.54		2.72		5.40
25	12.57		83.79		-13.05		3.63		3.66
26	61.81		98.22		41.47		9.56		-5.98
27	20.52		13.21		-95.45		4.97		0.42
28	38.09		89.23		-83.23		-2.41		3.81
29	44.08		28.34		76.54		-7.69		-6.23
30	49.85		44.26		24.38		0.96		6.43
31	73.23		75.77		95.78		3.70		9.59
32	90.72		25.54		9.52		-1.32		8.44
33	1.79		-27.30		0.76		7.54		9.81
34	11.09		-92.83		88.78		6.65		9.96
35	23.52		41.17		72.30		-8.31		-2.83
36	11.48		97.40		55.06		5.08		0.29
37	4.82		38.17		16.64		-2.60		0.12
38	83.89		88.88		-80.83		9.22		-0.36
39	40.86		-24.02		83.16		4.49		3.59
40	22.55		21.75		22.53		2.23		5.55
41	3.53		7.61		60.31		-6.56		0.60
42	84.29		75.08		29.90		-6.96		-2.81
43	46.96		63.68		-32.45		-6.00		-7.08
