Read 5000 bodies from file dataset_2d/bodies_2d_5000.csv
Using 2 MPI processes

Initial state:
ID	Mass		Pos_X		Pos_Y		Vel_X		Vel_Y
---------------------------------------------------------------
0	57.79		3.90		1.59		-1.19		1.20
1	26.23		-87.17		-24.16		-7.09		4.70
2	31.03		48.13		1.91		-3.24		-3.26
3	58.82		83.96		34.51		-0.43		7.83
4	80.51		-20.78		-85.20		1.95		2.57
5	41.15		-24.84		27.74		4.33		-2.39
6	57.60		-75.22		51.26		-1.03		9.71
7	35.92		-59.06		19.72		-1.59		5.82
8	43.24		5.33		15.65		-5.32		-7.94
9	71.58		-46.43		-88.32		7.28		-2.99
10	92.41		34.59		26.85		-5.65		-1.77
11	91.66		-69.33		-8.63		-6.80		-0.78
12	88.26		1.73		-18.66		-9.35		-1.55
13	47.04		47.99		70.99		-7.01		2.31
14	47.60		-64.16		-46.50		-6.65		-1.84
15	61.34		-77.85		80.60		-8.44		-8.34
16	45.31		-95.40		10.10		-5.19		-3.54
17	78.94		-30.10		-80.11		-8.21		9.21
18	64.18		-26.05		5.10		7.57		8.09
19	30.88		-38.07		19.26		7.64		3.77
20	40.64		48.92		-39.62		-2.46		9.73
21	9.12		93.89		78.95		5.38		3.29
22	9.33		4.00		89.94		-5.69		-0.13
23	48.60		-6.42		-68.46		9.28		4.97
24	5.22		78.13		60.24		-3.34		-8.29
25	51.95		45.68		70.03		3.42		-7.50
26	85.41		-62.46		-71.13		-6.67		-2.06
27	29.35		-26.91		-3.50		5.35		9.64
28	74.98		-63.00		-24.03		-0.37		-4.62
29	29.71		-78.46		27.53		1.74		9.89
30	37.39		24.75		-60.35		-1.86		8.83
31	32.54		-12.19		-55.39		5.57		-4.66
32	81.93		55.49		-97.00		3.99		2.62
33	85.79		24.01		-82.28		4.40		3.64
34	75.39		-3.18		-65.80		1.60		5.31
35	59.97		35.67		33.23		5.66		-6.10
36	34.96		15.21		97.31		-7.73		5.08
37	97.52		-29.68		-13.75		-6.13		5.28
38	57.99		-38.12		-20.64		-3.65		-3.37
39	96.37		-54.64		69.60		9.09		6.26
40	93.79		-69.57		21.92		-7.75		-4.62
41	44.85		-38.78		95.21		8.29		5.41
42	36.82		3.11		58.89		-5.00		-9.06
43	72.23		4.51		-5.68		-5.11		-3.61
44	8.39		-87.12		-2.01		6.87		2.40
45	49.84		9.03		26.56		-1.78		-8.28
46	13.49		34.96		-32.91		-4.08		-1.93
47	91.50		-0.53		-61.26		6.11		0.04
48	9.43		24.26		68.93		-6.17		2.65
49	94.68		38.10		90.88		4.72		2.06
50	16.26		71.22		-70.06		4.35		-3.10
51	53.13		49.22		-62.66		-3.86		6.43
52	11.79		69.84		-43.70		3.73		9.38
53	13.16		-8.60		10.52		-8.13		8.35
54	66.71		-78.51		-3.19		-7.23		-4.69
